transaction_id,transaction_datetime,account_id,customer_id,channel,type,status,category,subcategory,merchant,mcc,amount_brl,currency,installments,card_present,authorization_code,city,state,country,is_fraud,has_chargeback,balance_after_brl
T00000001,2024-10-07 20:16:08,A001489,C00478,Cartão Presencial,Crédito,Falha,Compras,Vestuário,Loja Fashion,5651.0,179.22,BRL,3,True,,Aparecida de Goiânia,GO,Brasil,False,False,6807.57
T00000002,2025-07-05 04:29:32,A000518,C00366,Saque ATM,Débito,Aprovada,Transporte,Aplicativo,InDrive,4121.0,20.0,BRL,1,,,Joinville,SC,Brasil,False,False,1687.08
T00000003,2025-11-30 14:14:47,A000629,C01409,PIX,Débito,Aprovada,Impostos,IPVA,Detran,9399.0,272.56,BRL,1,,,Recife,PE,Brasil,False,False,1594.28
T00000004,2024-12-07 22:24:16,A000564,C00606,PIX,Débito,Aprovada,Serviços,Academia,BodyTech,7997.0,171.43,BRL,1,,,Curitiba,PR,Brasil,False,False,0.0
T00000005,2025-04-02 03:26:24,A000107,C00647,PIX,Débito,Aprovada,Compras,Livraria,Saraiva,5942.0,389.36,BRL,1,,,Brasília,DF,Brasil,False,False,3277.31
T00000006,2024-12-15 01:41:47,A001067,C01179,PIX,Débito,Aprovada,Impostos,IPTU,Prefeitura Municipal,9399.0,670.2,BRL,1,,,Recife,PE,Brasil,False,False,5368.6
T00000007,2026-02-22 11:39:06,A000556,C00616,Boleto,Débito,Aprovada,Transporte,Pedágio,Sem Parar,4784.0,238.15,BRL,1,,,Recife,PE,Brasil,False,False,355.72
T00000008,2025-05-01 19:10:00,A001310,C01414,App,Débito,Aprovada,Serviços,Assinatura,Dropbox,4899.0,109.37,BRL,1,,,Brasília,DF,Brasil,False,False,5729.98
T00000009,2025-02-13 22:06:53,A000646,C01088,PIX,Débito,Falha,Compras,E-commerce,Americanas,5969.0,716.88,BRL,1,,,Porto Alegre,RS,Brasil,False,False,5204.4
T00000010,2025-11-29 07:35:35,A000569,C01362,PIX,Débito,Aprovada,Saúde,Laboratório,Dasa,8071.0,493.8,BRL,1,,,Blumenau,SC,Brasil,False,False,2247.24
T00000011,2024-10-31 21:12:09,A001512,C00108,PIX,Débito,Aprovada,Impostos,Taxas,Sefaz,9399.0,368.87,BRL,1,,,Goiânia,GO,Brasil,False,False,798.52
T00000012,2024-11-07 02:22:55,A001267,C00115,PIX,Débito,Aprovada,Habitação,Água,Corsan,4900.0,875.46,BRL,1,,,Vitória da Conquista,BA,Brasil,False,False,4529.19
T00000013,2025-10-17 15:51:31,A000514,C00679,TED,Débito,Aprovada,Serviços,Assinatura,Adobe,4899.0,615.43,BRL,1,,,Caruaru,PE,Brasil,False,False,4887.49
T00000014,2024-10-23 20:32:22,A001412,C00672,Cartão Presencial,Crédito,Aprovada,Compras,Eletrônicos,TechHouse,5732.0,148.23,BRL,1,True,ZECMHX,Vitória da Conquista,BA,Brasil,False,False,5438.86
T00000015,2025-03-04 22:38:23,A000509,C01314,Saque ATM,Débito,Aprovada,Compras,E-commerce,Mercado Livre,5969.0,400.0,BRL,1,,,Juiz de Fora,MG,Brasil,False,False,1387.2
T00000016,2025-11-12 15:59:50,A002126,C01467,Cartão Online,Crédito,Aprovada,Lazer,Cinema,UCI,7832.0,643.36,BRL,1,False,NU89GS,Canoas,RS,Brasil,False,False,699.02
T00000017,2025-10-06 04:12:41,A001125,C00417,PIX,Débito,Aprovada,Compras,E-commerce,Americanas,5969.0,504.85,BRL,1,,,Brasília,DF,Brasil,False,False,3892.78
T00000018,2025-11-22 14:10:15,A000691,C01112,TED,Débito,Aprovada,Compras,Eletrônicos,Kalunga,5732.0,507.89,BRL,1,,,Aparecida de Goiânia,GO,Brasil,False,False,1932.83
T00000019,2026-01-29 13:30:42,A000169,C01479,App,Crédito,Aprovada,Alimentação,Supermercado,Supermax,5411.0,751.07,BRL,1,,,Aparecida de Goiânia,GO,Brasil,False,False,3821.88
T00000020,2026-01-22 09:35:17,A000864,C00698,App,Débito,Aprovada,Habitação,Aluguel,Imobi+,6513.0,858.04,BRL,1,,,Brasília,DF,Brasil,False,False,2180.84
T00000021,2024-11-06 11:53:05,A001238,C01382,Cartão Presencial,Débito,Aprovada,Impostos,IPTU,Prefeitura Municipal,9399.0,44.46,BRL,1,,MZQ4X9,Londrina,PR,Brasil,False,False,3863.79
T00000022,2025-02-16 06:50:01,A000246,C00139,Cartão Presencial,Crédito,Aprovada,Compras,Livraria,Saraiva,5942.0,141.82,BRL,1,True,SESZS4,Olinda,PE,Brasil,False,False,2813.89
T00000023,2025-06-06 01:44:34,A001394,C01099,Cartão Online,Crédito,Aprovada,Compras,E-commerce,Americanas,5969.0,108.27,BRL,5,False,DYLZ4S,Blumenau,SC,Brasil,False,False,3753.87
T00000024,2025-05-16 16:19:13,A001634,C01176,Boleto,Débito,Aprovada,Compras,E-commerce,Americanas,5969.0,1852.26,BRL,1,,,Brasília,DF,Brasil,False,False,6480.81
T00000025,2024-12-29 05:43:07,A000991,C01272,PIX,Débito,Aprovada,Impostos,IPTU,Prefeitura Municipal,9399.0,490.47,BRL,1,,,Recife,PE,Brasil,False,False,1584.26
T00000026,2025-03-22 15:39:45,A000397,C00584,Cartão Online,Crédito,Aprovada,Alimentação,Lanchonete,Burger House,5814.0,73.31,BRL,1,False,VJAH9G,Aparecida de Goiânia,GO,Brasil,False,False,2086.15
T00000027,2025-10-15 14:44:08,A000655,C01123,App,Crédito,Aprovada,Serviços,Internet,Vivo Fibra,4816.0,160.81,BRL,1,,,Contagem,MG,Brasil,False,False,2194.85
T00000028,2025-07-13 06:08:05,A001913,C00772,PIX,Débito,Aprovada,Impostos,IPVA,Detran,9399.0,1299.53,BRL,1,,,São Paulo,SP,Brasil,False,False,6267.86
T00000029,2024-10-18 14:37:21,A002071,C01472,PIX,Débito,Aprovada,Impostos,IPTU,Prefeitura Municipal,9399.0,342.32,BRL,1,,,Aparecida de Goiânia,GO,Brasil,False,False,5976.82
T00000030,2024-09-17 04:00:25,A000208,C00974,Boleto,Débito,Aprovada,Lazer,Show,Ticketmaster,7922.0,514.77,BRL,1,,,Maringá,PR,Brasil,False,False,3866.12
T00000031,2025-06-22 01:08:09,A000441,C00537,PIX,Débito,Aprovada,Habitação,Condomínio,Condomínio Alpha,6536.0,1803.21,BRL,1,,,Joinville,SC,Brasil,False,False,5118.5
T00000032,2025-04-22 23:29:41,A000186,C01087,PIX,Débito,Aprovada,Habitação,Aluguel,Imobiliária Alpha,6513.0,6693.62,BRL,1,,,Blumenau,SC,Brasil,False,False,4184.58
T00000033,2024-12-19 18:01:42,A000302,C01108,PIX,Débito,Aprovada,Habitação,Água,Corsan,4900.0,824.97,BRL,1,,,Goiânia,GO,Brasil,False,False,173.93
T00000034,2024-12-31 20:54:27,A000397,C00584,Cartão Online,Débito,Aprovada,Habitação,Luz,Neoenergia,4900.0,497.47,BRL,4,False,FFNUXH,Brasília,DF,Brasil,False,False,7741.98
T00000035,2025-05-27 11:53:52,A000816,C00759,Cartão Online,Débito,Aprovada,Habitação,Aluguel,Imobiliária Alpha,6513.0,1567.04,BRL,1,False,UDC9S9,Campinas,SP,Brasil,False,False,3234.41
T00000036,2025-05-16 05:23:57,A001941,C01040,PIX,Débito,Falha,Impostos,IPTU,Prefeitura Municipal,9399.0,980.91,BRL,1,,,Blumenau,SC,Brasil,False,False,4850.85
T00000037,2025-11-22 01:14:16,A000666,C01284,Internet Banking,Débito,Aprovada,Habitação,Luz,Neoenergia,,764.22,BRL,1,,,Brasília,DF,Brasil,False,False,0.0
T00000038,2024-12-04 22:44:48,A001228,C00154,PIX,Débito,Aprovada,Impostos,IPTU,Prefeitura Municipal,9399.0,1911.94,BRL,1,,,Blumenau,SC,Brasil,False,False,3231.2
T00000039,2025-12-04 03:06:44,A001707,C01080,Cartão Online,Crédito,Aprovada,Lazer,Cinema,UCI,7832.0,88.08,BRL,1,False,AJLXRG,Maringá,PR,Brasil,False,False,142.57
T00000040,2025-01-03 14:18:28,A000933,C00368,PIX,Débito,Aprovada,Alimentação,Delivery,iFood,5812.0,460.69,BRL,1,,,Brasília,DF,Brasil,False,False,3643.02
T00000041,2025-05-12 11:13:15,A000993,C01249,Cartão Presencial,Crédito,Aprovada,Alimentação,Supermercado,BomPreço,5411.0,102.69,BRL,1,True,MUYQ5B,São José dos Campos,SP,Brasil,False,False,5838.91
T00000042,2025-12-29 18:20:46,A001716,C00419,PIX,Débito,Aprovada,Compras,Livraria,Livraria Cultura,5942.0,583.06,BRL,1,,,Vitória da Conquista,BA,Brasil,False,False,1663.34
T00000043,2025-05-21 06:55:53,A001932,C00700,PIX,Débito,Aprovada,Alimentação,Restaurante,Cantina Bella,5812.0,247.55,BRL,1,,,Canoas,RS,Brasil,False,False,5722.38
T00000044,2025-06-03 17:00:26,A001960,C00842,Cartão Presencial,Débito,Aprovada,Habitação,Luz,Enel,4900.0,422.44,BRL,2,True,YHVRNT,Caruaru,PE,Brasil,False,False,0.0
T00000045,2025-11-18 07:03:30,A001452,C01414,Cartão Presencial,Crédito,Aprovada,Lazer,Show,Eventim,7922.0,57.18,BRL,1,True,E3W7Y8,Caxias do Sul,RS,Brasil,False,False,5131.08
T00000046,2025-09-25 15:14:50,A001223,C01480,Boleto,Débito,Aprovada,Saúde,Hospital,Santa Casa,8062.0,414.57,BRL,1,,,Canoas,RS,Brasil,False,False,2205.38
T00000047,2025-11-30 05:57:05,A001299,C00590,Cartão Online,Débito,Aprovada,Impostos,IPVA,Detran,,102.64,BRL,1,False,8EX6YC,Curitiba,PR,Brasil,False,False,5294.65
T00000048,2025-04-22 05:23:14,A001556,C01124,PIX,Débito,Aprovada,Habitação,Luz,Enel,4900.0,1244.36,BRL,1,,,Curitiba,PR,Brasil,False,False,7680.01
T00000049,2025-02-14 18:23:23,A000324,C01356,Cartão Presencial,Crédito,Aprovada,Serviços,Academia,BodyTech,7997.0,52.21,BRL,1,True,EDBV8K,Recife,PE,Brasil,False,False,0.0
T00000050,2025-03-18 03:18:52,A001111,C00003,Cartão Online,Crédito,Aprovada,Lazer,Streaming,Netflix,4899.0,108.45,BRL,1,False,YBS599,Goiânia,GO,Brasil,False,False,5274.35
T00000051,2025-05-25 08:41:18,A000208,C00974,App,Débito,Aprovada,Saúde,Clínica,Clínica Vida,8099.0,1926.49,BRL,1,,,Volta Redonda,RJ,Brasil,False,False,0.0
T00000052,2025-07-23 20:52:25,A001935,C00464,App,Débito,Aprovada,Transporte,Aplicativo,Uber,4121.0,301.42,BRL,1,,,Brasília,DF,Brasil,False,False,1443.25
T00000053,2025-04-20 12:05:48,A001949,C01224,Saque ATM,Débito,Aprovada,Impostos,Taxas,Sefaz,9399.0,20.0,BRL,1,,,Londrina,PR,Brasil,False,False,5124.01
T00000054,2024-10-09 00:59:34,A000367,C00535,Boleto,Débito,Aprovada,Saúde,Farmácia,Drogasil,5912.0,723.61,BRL,1,,,Salvador,BA,Brasil,False,False,4453.29
T00000055,2025-04-30 14:00:11,A001627,C00460,PIX,Débito,Aprovada,Impostos,IPTU,Prefeitura Municipal,9399.0,1969.67,BRL,1,,,São Paulo,SP,Brasil,False,False,4525.93
T00000056,2024-12-24 01:14:14,A000440,C01305,Cartão Presencial,Crédito,Aprovada,Serviços,Internet,Claro NET,4816.0,40.66,BRL,1,True,SYNY2C,Brasília,DF,Brasil,False,False,5904.84
T00000057,2025-01-15 00:40:54,A002066,C00034,PIX,Débito,Pendente,Impostos,IPVA,Detran,9399.0,3078.41,BRL,1,,,Duque de Caxias,RJ,Brasil,False,False,3052.51
